epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,900.821,1.26158,1.38713,1.49618,0.8654,0.6875,0.85917,0.56715,1.16364,0.92682,1.61586,0.0017228,0.0017228,0.0017228
44,921.999,1.2287,1.36594,1.48191,0.89016,0.75,0.88044,0.55796,1.19833,1.08722,1.56149,0.0017162,0.0017162,0.0017162
45,943.102,1.19841,1.36384,1.48953,0.798,0.74126,0.79517,0.42367,1.39781,1.31795,1.82996,0.0017096,0.0017096,0.0017096
46,964.282,1.19238,1.28797,1.46041,0.81446,0.8125,0.87367,0.48669,1.47648,1.13735,1.94774,0.001703,0.001703,0.001703
47,985.405,1.23183,1.33438,1.49062,0.77884,0.8125,0.81095,0.57364,1.0444,1.22611,1.49719,0.0016964,0.0016964,0.0016964
48,1006.72,1.20129,1.36503,1.47372,1,0.7404,0.88328,0.46219,1.49132,1.24992,1.87922,0.0016898,0.0016898,0.0016898
49,1027.82,1.14595,1.30231,1.44133,0.87272,0.85787,0.85423,0.58052,1.06693,1.01545,1.48785,0.0016832,0.0016832,0.0016832
50,1048.97,1.16461,1.31663,1.44835,0.77265,0.6875,0.76583,0.48771,1.15277,1.10927,1.55648,0.0016766,0.0016766,0.0016766
51,1069.99,1.18627,1.29946,1.46881,1,0.63702,0.89417,0.59264,1.10005,0.99133,1.60861,0.00167,0.00167,0.00167
52,1091.18,1.1595,1.30964,1.44758,1,0.74194,0.87933,0.57801,1.15043,0.93579,1.61354,0.0016634,0.0016634,0.0016634
53,1112.28,1.15525,1.28855,1.44274,0.95263,0.6875,0.86105,0.56229,1.00942,1.01945,1.47606,0.0016568,0.0016568,0.0016568
54,1133.41,1.17191,1.24175,1.41454,0.91205,0.6875,0.87243,0.55058,1.08344,0.97803,1.527,0.0016502,0.0016502,0.0016502
55,1154.51,1.1187,1.21192,1.39278,0.75957,0.8125,0.85137,0.51472,1.09839,1.27684,1.48263,0.0016436,0.0016436,0.0016436
56,1175.61,1.18619,1.2983,1.45292,0.771,0.75,0.81995,0.45549,1.18525,1.5328,1.57828,0.001637,0.001637,0.001637
57,1196.71,1.16571,1.27154,1.43559,0.76213,0.80156,0.76098,0.42766,1.28,1.41546,1.68573,0.0016304,0.0016304,0.0016304
58,1217.87,1.21029,1.29815,1.46903,0.72791,0.75,0.79656,0.44237,1.14886,1.22211,1.59347,0.0016238,0.0016238,0.0016238
59,1239.01,1.14207,1.26513,1.42439,0.79492,0.72776,0.84098,0.50446,1.23854,1.13515,1.70503,0.0016172,0.0016172,0.0016172
60,1260.1,1.13429,1.23204,1.40715,0.90583,0.6875,0.84606,0.48014,1.22907,1.08914,1.7365,0.0016106,0.0016106,0.0016106
61,1281.19,1.15981,1.27808,1.42953,0.64767,0.8125,0.79666,0.49245,1.05193,1.0673,1.60118,0.001604,0.001604,0.001604
62,1302.27,1.14431,1.23375,1.40202,0.83544,0.6875,0.81223,0.5145,1.12103,1.15567,1.55912,0.0015974,0.0015974,0.0015974
63,1323.42,1.13027,1.21739,1.39559,0.81166,0.80829,0.87958,0.55161,1.15979,0.91552,1.67566,0.0015908,0.0015908,0.0015908
64,1344.54,1.09616,1.19791,1.38962,1,0.67081,0.89869,0.53782,1.17794,1.0269,1.66129,0.0015842,0.0015842,0.0015842
65,1365.62,1.08402,1.16804,1.36938,0.8102,0.80101,0.7675,0.46802,1.1663,1.17727,1.74419,0.0015776,0.0015776,0.0015776
66,1386.75,1.0887,1.14256,1.37478,0.88013,0.91861,0.9175,0.5119,1.2983,1.13528,1.84851,0.001571,0.001571,0.001571
67,1407.92,1.07695,1.16582,1.37741,1,0.61889,0.82871,0.48401,1.01162,0.99363,1.48963,0.0015644,0.0015644,0.0015644
68,1429.05,1.06814,1.13102,1.36458,0.88779,0.875,0.93047,0.59267,1.05296,0.90365,1.49824,0.0015578,0.0015578,0.0015578
69,1450.44,1.04817,1.11685,1.37245,0.83417,0.6875,0.85833,0.53942,1.18155,0.94676,1.57822,0.0015512,0.0015512,0.0015512
70,1471.59,1.04464,1.11763,1.3489,0.74523,0.8125,0.79544,0.52016,1.09796,1.23604,1.45233,0.0015446,0.0015446,0.0015446
71,1492.69,1.03307,1.09151,1.34509,0.86672,0.75,0.8811,0.53161,1.13977,1.15479,1.59029,0.001538,0.001538,0.001538
72,1513.85,1.07576,1.12636,1.37427,0.84859,0.70135,0.80067,0.37844,1.33524,1.39339,1.93498,0.0015314,0.0015314,0.0015314
73,1534.9,1.06368,1.11358,1.35253,0.68932,0.875,0.79749,0.55567,1.01757,1.02551,1.45461,0.0015248,0.0015248,0.0015248
74,1556.03,1.06993,1.16034,1.39532,0.83164,0.875,0.90392,0.61367,1.05724,0.85314,1.56696,0.0015182,0.0015182,0.0015182
75,1577.34,1.02426,1.08134,1.33409,0.8315,0.75,0.81564,0.51633,1.02402,0.9491,1.57984,0.0015116,0.0015116,0.0015116
76,1598.43,1.0685,1.14497,1.36639,0.94594,0.875,0.93169,0.53551,1.14575,1.02336,1.55627,0.001505,0.001505,0.001505
